context,sq,spit,depth,z,q_a,q_b,q_c,q_d,complete,n_afts,n_<15,n_cores,calcrete,1mm,bone,description,,,,,aft_density,15 rat,change,,a,b,c,d,,,,calc_3mm,calc_1mm,charcoal,,,,,,
1,1,1,0,100.39,1,,,1,1,26,39,0,21,,,Mainly in NW corner of sq1. Surface slopes heavily to E. Large quantities of charcoal in NW corner of quad A. Artefacts bedded at angles in both A and D.,,,,,65,1.5,0,,,,,10,,,,892.1,411.5,,,,,,,
2,1,2,0.05,100.34,2,,,,1,132,204,2,191,,f,"Horizon of river cobbles and decomposing qtzt appearing at base across Sq1. Termites still abundant. Many artefacts bedded at angles. Artefacts occuring in and among the cobbles. Square generally compact with looser patches. 2nd bucket A: 9, D: 8.5",big ugle chunks of decomposing sandstone in here,,,,336,1.5,1,,151,,,,,,,1362.5,510.9,,,,,,,
3,1,3,0.1,100.29,1,1,1,1,1,166,260,15,21,,1,"Sediments becoming looser and browner, poss linked to diminished termite activity. Large cobbles and other rocks persisting. Large numbers of artefacts. Many bedded at angles. More moisture. No charcoal. Heat shattered rock in situ.",great charcoal. marine shell,,,,426,1.6,1,,113,28,20,55,,,,1682.2,dnt+471.8,0.9,,,,,,
4,1,4,0.15,100.24,1,1,1,1,1,286,344,31,128,,,Sediments damper and much softer as depth increases. Artefacts very common. Some still bedded at angles.,"GROUND OCHRE! Massive chunk. Plenty of flat lev in here (QA) and several unworked cobblese in hrnf, sand and qtzt in qC",,,,630,1.2,1,,113,,59,17,,,,,,,,,,,,
7,1,5,0.2,100.19,1,1,1,1,1,225,243,20,119,,f,Damp sandy silt. Generally soft and loose in deeper areas - still compact where near surface. Large river cobbles common. No other gravels noted. Curious. Artefacts abundant. Excavated 1cm low in quads A and B. Large riverine cobble gets labeled separate,some bladey stuff in here and a retouched qtzt flake,,,,468,1.1,1,,72,,,79,,,,,,,,,,,,
9,1,6,0.25,100.14,,1,1,1,0.75,160,166,21,58,,m,"Artefact numbers seem to be generally dropping, core/flake ratio appearing to increase. Large number of large riverine cobbles in this context. Sediment is quite variable in compaction, but if it is softish it tends to harden rapidly.",possible prox end scraper in here. Hammer/grinder. The odd core or two as well …,,,,435,1.0,1,,,,53,55,,,,,,,,,,,,
11,1,7,0.3,100.09,1,1,1,1,1,175,215,20,nd,,,"Sediment generally soft and moderately compac with more compact areas nearer the surface. Rocks still occurring, and common artefacts, many bedded at angles. No evidence of termites noted but calcareous material still common throughout.",three sandstone hammers,,,,390,1.2,2,,,14,84,,*36 1 mm pieces given for B but prior to B having been logged so probably belongs in 9 or 13,,,2420.1,3809.7,,,1215.4,1130.5,3518.85,2477.1,1041.75
13,1,8,0.35,100.04,1,1,1,1,1,118,77,13,106,,,,,,,,195,0.7,1,,17,,,37,,,,786.8,757.3,,,,,,,
15,1,9,0.4,99.99,1,1,2,,1,70,117,2,139,4,"1,f",As per previous. Number of rocks and artefacts lower. Artefacts appear to be more common in downhill squares. Poss that all of this upper material is talus. Sq2 has plenty of artefacts at this height. Seds gen. loose except when exposed and dried out.,"micromammal bone in here, a bit crushed by its company. And quite fresh",,,,187,1.7,2,,4,47,,,,,,923.4,419.1,,,,,,,
17,1,10,0.45,99.94,1,1,1,1,1,38,53,4,nd,18,f,"Again, surface crust ormed following drying out wit underlying seds soft, moderately compact. Very few gravels",great flat lev core in B,,,,91,1.4,1,,6,13,,18,,,,863.1,592.8,,no dirt data for A - it's mud. ,,,1052.1,,
19,1,11,0.5,99.89,1,1,1,1,1,35,51,2,42,,"1,f",,,,,,86,1.5,2,,9,5,9,5,,,,1291,1166.9,,,,801.3,1198.5,365.6,
21,1,12,0.55,99.84,1,1,1,1,1,21,28,2,29,,"1,f",White calcareous material still present throughout. Inclusions now completely absent. Artefacts very few and still often bedded at angles.,,,,,49,1.3,2,,,,9,,,,,,,,,,,1166.9,,
23,1,13,0.6,99.79,1,1,1,1,1,12,15,0,22,,f,Continuation of previous. Negligible inclusions. Very few artefacts. None noted at angles.,micomammal bone,,,,27,1.3,1,,,,,13,,,,,,,,,,,,
25,1,14,0.65,99.74,1,1,1,1,1,12,18,1,nd,,f,"Generally few artefacts, some of which are bedded at angles. Sediments very compact due to neglect for two days. Calcareous material still present. One possible tooth fragment in QC. Quite odd.","CONJOIN! Flake on flake, ccs. Also, qtzt's are different in here; fine grained and yellow-white. Oh, and the core isn't our standard upper strata feller - rotated with some lam scars",,,,30,1.5,1,,,,,,,,,,,,,,,,,
27,1,15,0.7,99.69,1,1,1,1,1,12,13,0,7,,"1,f","With softening of seds it's possible to identify what appear to be old burrow fills throughout the context. Artefacts continue to be bedded at angles. Bone present, in v poor condition.",,,,,25,1.1,2,,,,6,13,,,,60.2,1092.9,,,,,,,
29,1,16,0.75,99.64,1,1,1,1,1,4,9,0,23,0,,,,,,,13,2.3,1,,,,,,,,,,,,,,,,,
31,1,17,0.8,99.59,1,,1,1,0.75,12,4,0,0,,1,As previous. Very few artefacts overall. Burrow-fills abundant.,great charcoal in A,,,,21,0.3,1,,15,,3,8,,,,,,,,,,,,
33,1,18,0.85,99.54,1,1,1,1,1,6,9,0,0,0,"1,f,m","No longer sure if the burrow-fills are just burrows but not also roots. Fill is usually very fine and dark, organic-looking. Either way these appear to be becoming more common with depth.",,,,,15,1.5,1,,3,10,5,,,,,914.2,354.8,,,,,,,
35,1,19,0.9,99.49,1,1,1,1,1,6,8,0,0,,"1,f",Two large pieces of hrnf in QA. Possible ground ochre in QC but no artefacts. Otherwise as previous.,OCHRE in QC. The QA pieces a 1) a lateral removal from a lev core and 2) a large unworked hrnf cobble/pebble with a polished feel,,,,14,1.3,1,,12,,3,9,,,,252.2,398.9,,no artefacts in the 3 mm of QC,,,,,
37,1,20,0.95,99.44,1,1,1,1,1,4,13,0,9,,f,As per previous,,,,,17,3.3,0,,9,2,,8,,,,,,,,,,,,
39,1,21,1,99.39,1,1,1,1,1,17,26,0,24,17,1,"Seds possibly becoming pedal. Very blocky in the sieve. Burrow-fills still abundant throughout. Large rock appearing in QD, S section. Not obviously river rock. A few artefacts around it. One bedded at angles.",nothing in A. 1 mm only,,,,43,1.5,2,,,,7,17,,,,4142.2,395,,,2256.8,,,,
41,1,22,1.05,99.34,1,1,1,1,1,13,14,1,32,19,1,"Sediment increasingly pedal and hard to dig, though becoming much softer and apedal in E part of QC and QB. Quite a few artefacts in A; very few in D, C or B. Hammerstone in B - related to core in A and flakes in others? ;  )",hammerstone. ,,,,27,1.1,1,,,21,11,,,,,1944,1144.7,,,,,,,
